#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)=10.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 0.7095403  3.7632 -0.3122  4.6059  5.700 -0.229  0.511  0.338  0.696  1.145  1.497  1.559  1.624  2.038  1.1959E+01  1.1671E+01  1.0110E+01
 0.7155568  3.7651 -0.2893  4.5943  5.641 -0.233  0.505  0.335  0.688  1.137  1.487  1.548  1.611  2.022  1.1890E+01  1.1378E+01  9.7212E+00
 0.7214306  3.7671 -0.2665  4.5830  5.583 -0.235  0.498  0.331  0.681  1.129  1.476  1.537  1.599  2.006  1.1718E+01  1.0999E+01  9.2709E+00
 0.7272751  3.7690 -0.2435  4.5711  5.524 -0.237  0.492  0.327  0.673  1.121  1.466  1.526  1.587  1.991  1.1629E+01  1.0710E+01  8.9084E+00
 0.7330596  3.7709 -0.2204  4.5591  5.464 -0.239  0.486  0.323  0.666  1.114  1.456  1.516  1.575  1.976  1.1387E+01  1.0295E+01  8.4524E+00
 0.7386623  3.7729 -0.1977  4.5477  5.406 -0.240  0.480  0.319  0.659  1.105  1.445  1.504  1.562  1.960  1.1246E+01  9.9851E+00  8.0946E+00
 0.7443053  3.7748 -0.1743  4.5352  5.345 -0.241  0.475  0.315  0.651  1.097  1.434  1.493  1.549  1.944  1.1211E+01  9.7787E+00  7.8288E+00
 0.7498733  3.7767 -0.1509  4.5226  5.285 -0.241  0.470  0.312  0.644  1.088  1.423  1.480  1.535  1.926  1.1087E+01  9.5024E+00  7.5145E+00
 0.7553922  3.7786 -0.1273  4.5098  5.223 -0.241  0.464  0.308  0.637  1.078  1.409  1.466  1.520  1.906  1.1066E+01  9.3219E+00  7.2828E+00
 0.7609394  3.7804 -0.1030  4.4959  5.160 -0.241  0.460  0.305  0.630  1.067  1.396  1.451  1.504  1.886  1.1041E+01  9.1425E+00  7.0572E+00
 0.7664328  3.7822 -0.0785  4.4817  5.095 -0.240  0.455  0.302  0.623  1.056  1.381  1.436  1.487  1.864  1.1019E+01  8.9709E+00  6.8428E+00
 0.7719582  3.7839 -0.0534  4.4665  5.029 -0.238  0.451  0.299  0.617  1.045  1.366  1.420  1.469  1.843  1.0898E+01  8.7250E+00  6.5774E+00
 0.7773305  3.7857 -0.0282  4.4515  4.963 -0.237  0.446  0.295  0.610  1.032  1.349  1.402  1.451  1.819  1.0683E+01  8.4139E+00  6.2704E+00
 0.7826407  3.7874 -0.0027  4.4358  4.895 -0.234  0.442  0.292  0.604  1.020  1.333  1.385  1.432  1.795  1.0578E+01  8.1992E+00  6.0421E+00
 0.7879085  3.7890  0.0233  4.4191  4.827 -0.232  0.439  0.289  0.598  1.008  1.317  1.368  1.414  1.773  1.0358E+01  7.9036E+00  5.7606E+00
 0.7929984  3.7907  0.0492  4.4028  4.758 -0.230  0.435  0.286  0.591  0.995  1.300  1.350  1.395  1.748  1.0186E+01  7.6546E+00  5.5196E+00
 0.7980942  3.7923  0.0758  4.3854  4.688 -0.227  0.431  0.284  0.585  0.982  1.284  1.333  1.376  1.725  1.0338E+01  7.6522E+00  5.4594E+00
 0.8033364  3.7940  0.1014  4.3694  4.620 -0.224  0.427  0.280  0.579  0.969  1.267  1.315  1.357  1.700  1.0504E+01  7.6570E+00  5.4045E+00
 0.8085981  3.7957  0.1267  4.3538  4.553 -0.222  0.422  0.277  0.572  0.957  1.250  1.297  1.338  1.676  1.0454E+01  7.5053E+00  5.2409E+00
 0.8137907  3.7974  0.1524  4.3376  4.486 -0.220  0.418  0.274  0.566  0.945  1.234  1.280  1.319  1.652  1.0357E+01  7.3242E+00  5.0606E+00
 0.8189550  3.7990  0.1788  4.3204  4.417 -0.218  0.414  0.271  0.560  0.933  1.218  1.263  1.301  1.628  1.0261E+01  7.1495E+00  4.8887E+00
 0.8240517  3.8006  0.2056  4.3027  4.346 -0.215  0.410  0.268  0.553  0.921  1.202  1.246  1.283  1.605  1.0033E+01  6.8896E+00  4.6632E+00
 0.8289876  3.8022  0.2322  4.2851  4.277 -0.213  0.406  0.265  0.547  0.909  1.186  1.229  1.264  1.581  9.9001E+00  6.7030E+00  4.4920E+00
 0.8339518  3.8037  0.2597  4.2662  4.205 -0.210  0.403  0.262  0.541  0.898  1.170  1.213  1.247  1.559  9.9440E+00  6.6389E+00  4.4055E+00
 0.8389316  3.8051  0.2883  4.2458  4.131 -0.208  0.399  0.259  0.535  0.887  1.156  1.197  1.231  1.538  9.8915E+00  6.5125E+00  4.2795E+00
 0.8438433  3.8063  0.3181  4.2233  4.054 -0.205  0.396  0.257  0.531  0.878  1.143  1.184  1.217  1.519  9.8190E+00  6.3764E+00  4.1498E+00
 0.8487506  3.8072  0.3504  4.1971  3.970 -0.202  0.393  0.255  0.527  0.871  1.133  1.174  1.206  1.505  9.9317E+00  6.3618E+00  4.1006E+00
 0.8537750  3.8076  0.3863  4.1654  3.879 -0.199  0.392  0.254  0.525  0.868  1.128  1.169  1.201  1.498  9.8546E+00  6.2268E+00  3.9753E+00
 0.8586052  3.8075  0.4231  4.1306  3.786 -0.196  0.392  0.254  0.525  0.868  1.128  1.169  1.201  1.499  8.9145E+00  5.5607E+00  3.5181E+00
 0.8626895  3.8067  0.4567  4.0959  3.703 -0.194  0.393  0.255  0.527  0.873  1.135  1.176  1.209  1.509  7.3192E+00  4.5152E+00  2.8345E+00
 0.8659244  3.8053  0.4860  4.0626  3.631 -0.193  0.396  0.257  0.532  0.882  1.148  1.190  1.224  1.529  5.9070E+00  3.6114E+00  2.2528E+00
 0.8685965  3.8032  0.5122  4.0293  3.568 -0.192  0.400  0.261  0.539  0.897  1.168  1.211  1.247  1.558  4.9193E+00  2.9856E+00  1.8528E+00
 0.8708437  3.8007  0.5360  3.9967  3.512 -0.192  0.405  0.266  0.549  0.915  1.192  1.237  1.274  1.594  4.1113E+00  2.4800E+00  1.5325E+00
 0.8727078  3.7977  0.5574  3.9642  3.464 -0.193  0.411  0.271  0.560  0.936  1.221  1.268  1.307  1.636  3.4643E+00  2.0791E+00  1.2802E+00
 0.8743080  3.7944  0.5771  3.9321  3.420 -0.194  0.418  0.277  0.572  0.960  1.253  1.301  1.343  1.682  2.8465E+00  1.7011E+00  1.0443E+00
 0.8755543  3.7909  0.5932  3.9026  3.387 -0.197  0.426  0.283  0.585  0.986  1.287  1.338  1.383  1.732  2.2708E+00  1.3524E+00  8.2823E-01
 0.8765788  3.7873  0.6072  3.8747  3.360 -0.201  0.433  0.290  0.598  1.013  1.322  1.376  1.423  1.784  1.8961E+00  1.1261E+00  6.8828E-01
 0.8774504  3.7836  0.6194  3.8481  3.337 -0.204  0.442  0.297  0.612  1.039  1.357  1.412  1.463  1.834  1.6420E+00  9.7285E-01  5.9364E-01
 0.8782208  3.7799  0.6304  3.8227  3.317 -0.206  0.450  0.304  0.626  1.063  1.388  1.446  1.499  1.880  1.4630E+00  8.6500E-01  5.2706E-01
 0.8789134  3.7761  0.6403  3.7980  3.298 -0.206  0.459  0.311  0.640  1.085  1.416  1.476  1.531  1.921  1.3236E+00  7.8112E-01  4.7533E-01
 0.8795444  3.7723  0.6490  3.7744  3.281 -0.206  0.469  0.318  0.655  1.102  1.440  1.500  1.558  1.956  1.2314E+00  7.2547E-01  4.4094E-01
 0.8801448  3.7685  0.6570  3.7515  3.266 -0.205  0.479  0.325  0.669  1.118  1.462  1.523  1.583  1.987  1.1531E+00  6.7826E-01  4.1178E-01
 0.8806975  3.7647  0.6643  3.7293  3.252 -0.203  0.490  0.333  0.684  1.135  1.484  1.546  1.608  2.019  1.0580E+00  6.2141E-01  3.7687E-01
 0.8812028  3.7609  0.6707  3.7079  3.241 -0.200  0.502  0.340  0.699  1.152  1.508  1.571  1.636  2.055  1.0191E+00  5.9773E-01  3.6216E-01
 0.8817166  3.7571  0.6780  3.6857  3.228 -0.193  0.515  0.348  0.714  1.173  1.536  1.602  1.669  2.097  9.8960E-01  5.7965E-01  3.5088E-01
 0.8821924  3.7533  0.6859  3.6628  3.214 -0.183  0.529  0.356  0.730  1.197  1.567  1.636  1.706  2.146  9.5700E-01  5.5983E-01  3.3857E-01
 0.8826736  3.7495  0.6960  3.6377  3.195 -0.169  0.544  0.364  0.746  1.222  1.601  1.674  1.746  2.198  9.9520E-01  5.8142E-01  3.5131E-01
 0.8831876  3.7459  0.7102  3.6094  3.165 -0.152  0.559  0.372  0.760  1.246  1.634  1.711  1.785  2.249  1.0411E+00  6.0741E-01  3.6666E-01
 0.8837147  3.7425  0.7291  3.5771  3.123 -0.135  0.574  0.379  0.772  1.269  1.664  1.745  1.821  2.296  1.0579E+00  6.1635E-01  3.7170E-01
 0.8842455  3.7394  0.7525  3.5416  3.070 -0.121  0.587  0.384  0.782  1.289  1.691  1.774  1.852  2.336  1.0672E+00  6.2089E-01  3.7406E-01
 0.8847819  3.7368  0.7806  3.5034  3.003 -0.109  0.599  0.388  0.789  1.305  1.713  1.798  1.878  2.368  1.0689E+00  6.2100E-01  3.7376E-01
