#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)=15.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 0.5974452  3.7185 -0.6809  4.7211  6.681  0.015  0.707  0.418  0.838  1.415  1.857  1.957  2.048  2.580  7.2330E+00  1.0573E+01  1.2163E+01
 0.6011307  3.7210 -0.6642  4.7171  6.636 -0.004  0.694  0.414  0.832  1.401  1.840  1.938  2.028  2.555  8.1768E+00  1.1773E+01  1.3401E+01
 0.6056220  3.7232 -0.6459  4.7108  6.587 -0.020  0.683  0.411  0.827  1.388  1.823  1.920  2.009  2.532  9.0307E+00  1.2787E+01  1.4384E+01
 0.6101614  3.7254 -0.6273  4.7043  6.538 -0.036  0.673  0.408  0.822  1.375  1.806  1.901  1.988  2.507  9.0537E+00  1.2597E+01  1.3998E+01
 0.6146757  3.7276 -0.6086  4.6976  6.488 -0.051  0.662  0.405  0.817  1.361  1.788  1.881  1.968  2.481  8.9916E+00  1.2296E+01  1.3499E+01
 0.6191530  3.7298 -0.5898  4.6907  6.438 -0.066  0.652  0.402  0.811  1.347  1.769  1.861  1.946  2.455  8.9983E+00  1.2096E+01  1.3120E+01
 0.6236740  3.7319 -0.5707  4.6832  6.387 -0.079  0.642  0.399  0.806  1.334  1.751  1.841  1.926  2.428  8.9586E+00  1.1840E+01  1.2691E+01
 0.6281116  3.7341 -0.5517  4.6761  6.336 -0.093  0.632  0.395  0.800  1.320  1.732  1.821  1.904  2.401  8.8128E+00  1.1455E+01  1.2134E+01
 0.6324868  3.7363 -0.5326  4.6688  6.286 -0.106  0.622  0.392  0.794  1.307  1.713  1.800  1.882  2.373  8.7845E+00  1.1232E+01  1.1762E+01
 0.6368961  3.7384 -0.5132  4.6608  6.234 -0.118  0.612  0.389  0.789  1.294  1.695  1.781  1.862  2.346  8.8320E+00  1.1110E+01  1.1502E+01
 0.6413188  3.7405 -0.4936  4.6526  6.182 -0.130  0.603  0.385  0.782  1.281  1.677  1.761  1.841  2.320  8.8321E+00  1.0931E+01  1.1189E+01
 0.6457282  3.7426 -0.4737  4.6441  6.130 -0.142  0.594  0.381  0.775  1.268  1.660  1.742  1.820  2.293  8.7750E+00  1.0687E+01  1.0817E+01
 0.6500938  3.7447 -0.4539  4.6356  6.077 -0.155  0.584  0.377  0.768  1.254  1.641  1.721  1.798  2.265  8.7803E+00  1.0525E+01  1.0534E+01
 0.6545085  3.7467 -0.4336  4.6262  6.024 -0.166  0.575  0.373  0.761  1.241  1.624  1.701  1.777  2.237  8.7381E+00  1.0310E+01  1.0205E+01
 0.6588319  3.7488 -0.4133  4.6172  5.970 -0.178  0.566  0.369  0.753  1.227  1.605  1.680  1.755  2.208  8.7167E+00  1.0126E+01  9.9133E+00
 0.6632252  3.7508 -0.3924  4.6072  5.915 -0.189  0.557  0.364  0.745  1.214  1.588  1.660  1.734  2.180  8.7685E+00  1.0029E+01  9.7119E+00
 0.6676004  3.7527 -0.3714  4.5966  5.860 -0.198  0.549  0.360  0.737  1.201  1.572  1.642  1.714  2.155  8.7415E+00  9.8446E+00  9.4305E+00
 0.6719667  3.7546 -0.3500  4.5857  5.804 -0.206  0.541  0.356  0.729  1.190  1.557  1.625  1.695  2.130  8.6697E+00  9.6158E+00  9.1130E+00
 0.6762701  3.7565 -0.3285  4.5745  5.748 -0.213  0.534  0.352  0.721  1.179  1.542  1.608  1.677  2.107  8.6759E+00  9.4783E+00  8.8879E+00
 0.6806426  3.7584 -0.3062  4.5626  5.690 -0.218  0.526  0.348  0.714  1.168  1.528  1.593  1.661  2.085  8.6420E+00  9.3007E+00  8.6300E+00
 0.6849121  3.7603 -0.2841  4.5509  5.633 -0.223  0.519  0.344  0.706  1.158  1.515  1.579  1.645  2.065  8.5685E+00  9.0861E+00  8.3436E+00
 0.6892111  3.7621 -0.2614  4.5381  5.574 -0.227  0.513  0.340  0.699  1.150  1.504  1.566  1.632  2.048  8.4971E+00  8.8798E+00  8.0711E+00
 0.6934092  3.7639 -0.2387  4.5252  5.516 -0.230  0.507  0.337  0.692  1.142  1.493  1.555  1.619  2.032  8.3696E+00  8.6221E+00  7.7583E+00
 0.6975807  3.7657 -0.2156  4.5119  5.457 -0.232  0.501  0.333  0.686  1.134  1.484  1.545  1.607  2.017  8.4895E+00  8.6219E+00  7.6810E+00
 0.7018987  3.7674 -0.1922  4.4980  5.397 -0.234  0.495  0.330  0.679  1.127  1.475  1.535  1.597  2.004  8.9533E+00  8.9608E+00  7.9013E+00
 0.7065340  3.7690 -0.1682  4.4833  5.335 -0.235  0.490  0.326  0.673  1.121  1.466  1.526  1.586  1.991  9.1364E+00  9.0071E+00  7.8584E+00
 0.7110351  3.7706 -0.1441  4.4683  5.274 -0.236  0.485  0.323  0.667  1.115  1.458  1.517  1.576  1.978  8.9498E+00  8.6918E+00  7.5039E+00
 0.7154838  3.7722 -0.1196  4.4529  5.211 -0.237  0.481  0.320  0.661  1.108  1.449  1.508  1.566  1.965  8.8606E+00  8.4799E+00  7.2459E+00
 0.7198957  3.7737 -0.0945  4.4365  5.147 -0.237  0.476  0.317  0.655  1.102  1.441  1.499  1.556  1.953  8.6796E+00  8.1882E+00  6.9265E+00
 0.7241634  3.7752 -0.0694  4.4200  5.082 -0.237  0.472  0.314  0.649  1.095  1.432  1.490  1.546  1.939  8.4462E+00  7.8578E+00  6.5822E+00
 0.7283419  3.7767 -0.0438  4.4029  5.016 -0.237  0.468  0.311  0.643  1.087  1.422  1.479  1.534  1.925  8.3464E+00  7.6602E+00  6.3558E+00
 0.7325098  3.7781 -0.0177  4.3848  4.949 -0.236  0.464  0.309  0.638  1.080  1.412  1.469  1.523  1.911  8.2359E+00  7.4586E+00  6.1309E+00
 0.7365778  3.7795  0.0091  4.3660  4.880 -0.236  0.460  0.306  0.632  1.072  1.401  1.458  1.511  1.895  8.0820E+00  7.2243E+00  5.8841E+00
 0.7405918  3.7807  0.0366  4.3457  4.809 -0.234  0.456  0.304  0.628  1.064  1.392  1.447  1.499  1.881  7.9126E+00  6.9835E+00  5.6373E+00
 0.7444904  3.7820  0.0640  4.3258  4.738 -0.233  0.453  0.302  0.623  1.056  1.381  1.436  1.487  1.865  7.7589E+00  6.7634E+00  5.4124E+00
 0.7483507  3.7831  0.0927  4.3037  4.664 -0.231  0.450  0.299  0.618  1.049  1.371  1.425  1.476  1.851  7.7405E+00  6.6656E+00  5.2886E+00
 0.7522309  3.7841  0.1223  4.2804  4.587 -0.229  0.447  0.298  0.615  1.042  1.361  1.416  1.465  1.837  7.7705E+00  6.6106E+00  5.2005E+00
 0.7561212  3.7849  0.1535  4.2546  4.507 -0.227  0.445  0.296  0.611  1.036  1.354  1.407  1.456  1.826  7.8089E+00  6.5632E+00  5.1193E+00
 0.7600398  3.7852  0.1881  4.2235  4.420 -0.225  0.444  0.295  0.610  1.033  1.350  1.404  1.453  1.822  7.6610E+00  6.3621E+00  4.9209E+00
 0.7637822  3.7851  0.2240  4.1893  4.329 -0.223  0.444  0.296  0.610  1.033  1.350  1.404  1.453  1.822  6.9413E+00  5.6999E+00  4.3739E+00
 0.7669811  3.7845  0.2570  4.1557  4.247 -0.222  0.445  0.297  0.612  1.037  1.355  1.409  1.459  1.829  5.9492E+00  4.8371E+00  3.6861E+00
 0.7697314  3.7834  0.2873  4.1226  4.173 -0.221  0.447  0.298  0.615  1.044  1.364  1.419  1.470  1.843  5.0803E+00  4.0959E+00  3.1029E+00
 0.7720614  3.7820  0.3156  4.0900  4.105 -0.220  0.449  0.301  0.620  1.053  1.376  1.432  1.483  1.860  4.3075E+00  3.4481E+00  2.5990E+00
 0.7740389  3.7800  0.3416  4.0571  4.043 -0.219  0.454  0.305  0.628  1.066  1.392  1.449  1.502  1.884  3.6697E+00  2.9198E+00  2.1915E+00
 0.7757311  3.7776  0.3660  4.0240  3.985 -0.218  0.459  0.309  0.636  1.079  1.410  1.468  1.523  1.910  3.1736E+00  2.5120E+00  1.8785E+00
 0.7772125  3.7749  0.3891  3.9910  3.931 -0.217  0.466  0.314  0.646  1.092  1.427  1.487  1.543  1.936  2.6806E+00  2.1124E+00  1.5748E+00
 0.7784117  3.7719  0.4093  3.9594  3.884 -0.216  0.473  0.319  0.658  1.106  1.445  1.505  1.564  1.962  2.2080E+00  1.7336E+00  1.2890E+00
 0.7794205  3.7688  0.4276  3.9293  3.841 -0.214  0.481  0.325  0.669  1.119  1.463  1.524  1.583  1.988  1.8633E+00  1.4584E+00  1.0821E+00
 0.7802750  3.7655  0.4439  3.9003  3.804 -0.212  0.490  0.331  0.682  1.132  1.481  1.543  1.605  2.015  1.5867E+00  1.2387E+00  9.1741E-01
 0.7810072  3.7622  0.4587  3.8727  3.771 -0.209  0.500  0.338  0.695  1.147  1.501  1.564  1.627  2.044  1.3904E+00  1.0830E+00  8.0086E-01
 0.7816654  3.7588  0.4728  3.8453  3.740 -0.203  0.511  0.345  0.708  1.164  1.525  1.589  1.655  2.079  1.2684E+00  9.8603E-01  7.2810E-01
 0.7822756  3.7554  0.4870  3.8179  3.709 -0.195  0.523  0.352  0.722  1.184  1.551  1.618  1.686  2.119  1.1282E+00  8.7547E-01  6.4564E-01
 0.7827936  3.7520  0.5001  3.7915  3.682 -0.184  0.536  0.359  0.736  1.206  1.580  1.650  1.720  2.164  1.0242E+00  7.9348E-01  5.8451E-01
 0.7832998  3.7487  0.5149  3.7638  3.650 -0.170  0.550  0.366  0.750  1.227  1.609  1.683  1.755  2.210  9.8930E-01  7.6528E-01  5.6315E-01
 0.7837829  3.7454  0.5312  3.7345  3.614 -0.153  0.564  0.373  0.762  1.250  1.639  1.716  1.791  2.257  9.5760E-01  7.3968E-01  5.4375E-01
 0.7842574  3.7423  0.5504  3.7032  3.571 -0.138  0.577  0.379  0.773  1.270  1.667  1.747  1.823  2.299  9.2810E-01  7.1588E-01  5.2573E-01
 0.7847110  3.7394  0.5725  3.6697  3.520 -0.124  0.590  0.384  0.783  1.289  1.692  1.775  1.853  2.336  8.9630E-01  6.9041E-01  5.0654E-01
 0.7851537  3.7368  0.5973  3.6348  3.462 -0.112  0.601  0.388  0.790  1.305  1.714  1.798  1.878  2.369  8.8500E-01  6.8080E-01  4.9902E-01
 0.7855960  3.7345  0.6257  3.5974  3.395 -0.101  0.612  0.392  0.796  1.320  1.733  1.819  1.901  2.397  8.6560E-01  6.6500E-01  4.8699E-01
 0.7860193  3.7325  0.6561  3.5593  3.321 -0.090  0.622  0.395  0.800  1.332  1.750  1.837  1.921  2.422  8.3100E-01  6.3761E-01  4.6652E-01
 0.7864270  3.7308  0.6884  3.5204  3.243 -0.081  0.630  0.397  0.804  1.343  1.764  1.853  1.937  2.442  7.9690E-01  6.1070E-01  4.4645E-01
 0.7868162  3.7294  0.7220  3.4814  3.161 -0.073  0.637  0.399  0.807  1.351  1.776  1.865  1.950  2.459  7.5670E-01  5.7922E-01  4.2309E-01
 0.7871837  3.7281  0.7560  3.4424  3.078 -0.066  0.644  0.400  0.810  1.359  1.787  1.877  1.963  2.475  7.1560E-01  5.4716E-01  3.9936E-01
 0.7875318  3.7270  0.7905  3.4037  2.993 -0.059  0.649  0.402  0.813  1.366  1.796  1.886  1.973  2.488  6.7890E-01  5.1856E-01  3.7821E-01
 0.7878626  3.7260  0.8255  3.3649  2.907 -0.054  0.653  0.403  0.816  1.372  1.804  1.895  1.983  2.499  6.4220E-01  4.9005E-01  3.5717E-01
 0.7881740  3.7251  0.8607  3.3262  2.820 -0.048  0.657  0.405  0.818  1.378  1.812  1.903  1.991  2.510  6.0170E-01  4.5872E-01  3.3412E-01
 0.7884643  3.7241  0.8958  3.2873  2.734 -0.042  0.661  0.406  0.821  1.384  1.821  1.912  2.000  2.522  5.6450E-01  4.2998E-01  3.1300E-01
 0.7887385  3.7231  0.9311  3.2482  2.648 -0.036  0.665  0.408  0.823  1.390  1.829  1.921  2.010  2.533  5.3000E-01  4.0337E-01  2.9346E-01
 0.7889943  3.7221  0.9662  3.2092  2.562 -0.031  0.669  0.410  0.826  1.397  1.838  1.930  2.019  2.545  5.1230E-01  3.8960E-01  2.8328E-01
 0.7892508  3.7213  1.0017  3.1706  2.474 -0.026  0.672  0.411  0.829  1.402  1.844  1.938  2.026  2.554  4.8210E-01  3.6636E-01  2.6625E-01
 0.7894764  3.7203  1.0368  3.1317  2.389 -0.020  0.676  0.413  0.832  1.408  1.853  1.947  2.035  2.565  4.4770E-01  3.3998E-01  2.4696E-01
 0.7896985  3.7194  1.0723  3.0927  2.302 -0.015  0.679  0.415  0.836  1.413  1.861  1.955  2.043  2.575  4.3500E-01  3.3012E-01  2.3969E-01
 0.7899114  3.7185  1.1075  3.0540  2.216 -0.010  0.683  0.417  0.839  1.419  1.869  1.963  2.051  2.585  4.1150E-01  3.1209E-01  2.2649E-01
 0.7901100  3.7176  1.1429  3.0151  2.130 -0.005  0.686  0.419  0.842  1.425  1.876  1.971  2.059  2.595  3.9170E-01  2.9690E-01  2.1538E-01
 0.7903031  3.7165  1.1778  2.9759  2.045  0.001  0.690  0.421  0.847  1.432  1.886  1.982  2.068  2.608  3.6760E-01  2.7847E-01  2.0193E-01
 0.7904776  3.7153  1.2124  2.9366  1.962  0.007  0.694  0.424  0.852  1.439  1.897  1.993  2.079  2.621  3.3700E-01  2.5516E-01  1.8496E-01
 0.7906401  3.7142  1.2471  2.8976  1.879  0.013  0.698  0.427  0.857  1.446  1.906  2.003  2.088  2.633  3.1360E-01  2.3733E-01  1.7197E-01
 0.7907912  3.7130  1.2816  2.8584  1.796  0.019  0.702  0.430  0.863  1.454  1.917  2.014  2.099  2.646  2.9290E-01  2.2156E-01  1.6050E-01
 0.7909330  3.7118  1.3163  2.8190  1.713  0.025  0.706  0.433  0.869  1.461  1.928  2.026  2.109  2.659  2.7540E-01  2.0824E-01  1.5080E-01
 0.7910666  3.7107  1.3509  2.7800  1.630  0.031  0.709  0.436  0.875  1.468  1.937  2.036  2.119  2.671  2.5830E-01  1.9523E-01  1.4134E-01
 0.7911913  3.7095  1.3855  2.7407  1.547  0.038  0.714  0.440  0.881  1.476  1.948  2.047  2.129  2.684  2.3890E-01  1.8050E-01  1.3064E-01
 0.7913055  3.7083  1.4202  2.7013  1.464  0.045  0.718  0.443  0.887  1.484  1.959  2.058  2.139  2.697  2.2210E-01  1.6775E-01  1.2139E-01
 0.7914134  3.7072  1.4548  2.6623  1.382  0.051  0.721  0.446  0.893  1.490  1.968  2.069  2.148  2.709  2.0900E-01  1.5780E-01  1.1416E-01
 0.7915145  3.7060  1.4894  2.6230  1.299  0.058  0.726  0.450  0.899  1.498  1.979  2.080  2.158  2.721  1.9290E-01  1.4560E-01  1.0532E-01
 0.7916063  3.7046  1.5232  2.5836  1.219  0.066  0.731  0.454  0.906  1.507  1.991  2.092  2.170  2.736  1.7850E-01  1.3470E-01  9.7409E-02
 0.7916930  3.7032  1.5570  2.5443  1.139  0.074  0.736  0.457  0.913  1.515  2.002  2.105  2.182  2.751  1.6780E-01  1.2659E-01  9.1529E-02
 0.7917741  3.7018  1.5907  2.5050  1.059  0.082  0.742  0.461  0.919  1.524  2.014  2.117  2.194  2.765  1.5640E-01  1.1796E-01  8.5276E-02
 0.7918494  3.7003  1.6240  2.4658  0.980  0.092  0.748  0.465  0.926  1.532  2.026  2.130  2.206  2.780  1.4630E-01  1.1032E-01  7.9739E-02
 0.7919204  3.6989  1.6574  2.4268  0.900  0.101  0.754  0.468  0.932  1.540  2.037  2.141  2.217  2.793  1.3730E-01  1.0351E-01  7.4807E-02
 0.7919867  3.6974  1.6910  2.3872  0.819  0.112  0.761  0.471  0.937  1.549  2.048  2.154  2.230  2.808  1.2790E-01  9.6406E-02  6.9662E-02
 0.7920483  3.6959  1.7245  2.3478  0.739  0.124  0.769  0.475  0.943  1.557  2.059  2.165  2.241  2.821  1.1920E-01  8.9832E-02  6.4903E-02
 0.7921059  3.6944  1.7578  2.3085  0.659  0.136  0.777  0.478  0.948  1.564  2.070  2.176  2.253  2.835  1.1210E-01  8.4466E-02  6.1019E-02
 0.7921604  3.6929  1.7909  2.2694  0.579  0.149  0.785  0.481  0.953  1.572  2.080  2.187  2.265  2.848  1.4360E-01  1.0818E-01  7.8140E-02
 0.7922495  3.6903  1.8461  2.2039  0.446  0.172  0.800  0.486  0.961  1.585  2.098  2.206  2.285  2.870  1.8770E-01  1.4137E-01  1.0209E-01
 0.7923481  3.6878  1.9013  2.1387  0.313  0.197  0.816  0.491  0.969  1.597  2.115  2.224  2.304  2.891  2.6470E-01  1.9930E-01  1.4390E-01
 0.7925142  3.6855  1.9580  2.0729  0.176  0.222  0.830  0.495  0.976  1.609  2.130  2.240  2.322  2.911  2.3560E-01  1.7732E-01  1.2800E-01
 0.7925837  3.6828  2.0122  2.0080  0.047  0.251  0.848  0.501  0.985  1.623  2.149  2.261  2.344  2.934  1.2880E-01  9.6913E-02  6.9941E-02
 0.7926430  3.6799  2.0661  1.9425 -0.081  0.282  0.867  0.507  0.995  1.640  2.171  2.284  2.369  2.961  1.1480E-01  8.6363E-02  6.2320E-02
 0.7926985  3.6771  2.1199  1.8775 -0.207  0.313  0.886  0.513  1.006  1.657  2.194  2.308  2.395  2.989  9.7300E-02  7.3187E-02  5.2806E-02
 0.7927403  3.6739  2.1720  1.8127 -0.326  0.348  0.907  0.521  1.019  1.679  2.222  2.338  2.427  3.023  8.0800E-02  6.0768E-02  4.3841E-02
 0.7927793  3.6708  2.2242  1.7481 -0.444  0.385  0.927  0.528  1.032  1.702  2.252  2.368  2.459  3.058  7.4500E-02  5.6023E-02  4.0415E-02
 0.7928148  3.6676  2.2762  1.6833 -0.560  0.425  0.949  0.536  1.046  1.727  2.285  2.402  2.495  3.097  6.7600E-02  5.0829E-02  3.6665E-02
 0.7928469  3.6644  2.3279  1.6188 -0.674  0.467  0.972  0.545  1.062  1.754  2.320  2.438  2.533  3.137  6.0300E-02  4.5336E-02  3.2701E-02
 0.7928751  3.6611  2.3793  1.5542 -0.785  0.511  0.996  0.555  1.078  1.783  2.358  2.477  2.573  3.180  5.5500E-02  4.1723E-02  3.0093E-02
 0.7929024  3.6579  2.4306  1.4901 -0.895  0.554  1.020  0.565  1.096  1.813  2.396  2.516  2.614  3.224  5.0700E-02  3.8112E-02  2.7487E-02
 0.7929258  3.6545  2.4817  1.4255 -1.002  0.599  1.046  0.576  1.116  1.846  2.437  2.559  2.659  3.272  4.6700E-02  3.5103E-02  2.5315E-02
 0.7929491  3.6512  2.5328  1.3612 -1.108  0.643  1.072  0.589  1.139  1.878  2.478  2.602  2.704  3.321  4.1900E-02  3.1493E-02  2.2711E-02
 0.7929677  3.6477  2.5825  1.2975 -1.207  0.689  1.099  0.605  1.166  1.913  2.522  2.650  2.754  3.376  3.7000E-02  2.7808E-02  2.0053E-02
 0.7929861  3.6442  2.6321  1.2339 -1.303  0.737  1.128  0.623  1.196  1.950  2.568  2.700  2.806  3.433  3.5600E-02  2.6754E-02  1.9292E-02
 0.7930033  3.6406  2.6816  1.1700 -1.396  0.786  1.158  0.643  1.230  1.990  2.617  2.753  2.861  3.496  3.1000E-02  2.3296E-02  1.6798E-02
 0.7930171  3.6370  2.7305  1.1067 -1.485  0.837  1.188  0.664  1.266  2.032  2.668  2.809  2.919  3.560  2.7500E-02  2.0665E-02  1.4900E-02
 0.7930308  3.6334  2.7794  1.0434 -1.572  0.887  1.218  0.685  1.302  2.075  2.721  2.867  2.978  3.627  2.7400E-02  2.0589E-02  1.4845E-02
 0.7930445  3.6297  2.8283  0.9797 -1.657  0.939  1.249  0.705  1.338  2.122  2.778  2.928  3.042  3.697  2.5200E-02  1.8935E-02  1.3652E-02
 0.7930560  3.6261  2.8773  0.9163 -1.743  0.990  1.279  0.722  1.371  2.169  2.836  2.988  3.105  3.766  2.1400E-02  1.6079E-02  1.1593E-02
 0.7930659  3.6225  2.9262  0.8530 -1.827  1.041  1.308  0.738  1.402  2.219  2.896  3.051  3.169  3.837  1.9800E-02  1.4877E-02  1.0726E-02
 0.7930758  3.6189  2.9752  0.7896 -1.910  1.092  1.338  0.753  1.433  2.270  2.958  3.115  3.236  3.909  1.9800E-02  1.4876E-02  1.0725E-02
 0.7930857  3.6152  3.0241  0.7259 -1.989  1.146  1.368  0.769  1.464  2.325  3.025  3.184  3.307  3.986  1.9800E-02  1.4876E-02  1.0725E-02
 0.7930956  3.6116  3.0731  0.6625 -2.067  1.198  1.399  0.785  1.497  2.382  3.093  3.254  3.379  4.065  2.4200E-02  1.8181E-02  1.3107E-02
 0.7931099  3.6080  3.1218  0.5995 -2.140  1.250  1.430  0.801  1.532  2.442  3.164  3.327  3.455  4.148  3.2200E-02  2.4190E-02  1.7439E-02
 0.7931278  3.6043  3.1705  0.5360 -2.209  1.303  1.463  0.821  1.572  2.507  3.241  3.407  3.538  4.239  3.5800E-02  2.6893E-02  1.9387E-02
 0.7931457  3.6006  3.2191  0.4726 -2.272  1.355  1.497  0.844  1.619  2.576  3.322  3.493  3.626  4.337  3.5800E-02  2.6892E-02  1.9385E-02
 0.7931636  3.5970  3.2677  0.4096 -2.331  1.408  1.533  0.871  1.671  2.647  3.405  3.582  3.718  4.439  3.5800E-02  2.6891E-02  1.9383E-02
 0.7931815  3.5933  3.3163  0.3462 -2.382  1.464  1.570  0.902  1.731  2.723  3.495  3.678  3.817  4.551  1.7900E-02  1.3445E-02  9.6909E-03
 
