#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)=15.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 0.4000000  3.5662 -1.5867  4.8435  9.971  1.008  1.485  1.008  1.946  2.827  3.434  3.651  3.815  4.667  1.8031E+01  6.5921E+01  1.4437E+02
 0.4180306  3.5811 -1.5020  4.8375  9.554  0.966  1.396  0.917  1.765  2.603  3.174  3.382  3.558  4.365  3.6107E+01  1.2224E+02  2.5373E+02
 0.4361067  3.5960 -1.4166  4.8301  9.166  0.903  1.305  0.847  1.640  2.371  2.908  3.109  3.301  4.061  3.5995E+01  1.1035E+02  2.1362E+02
 0.4540261  3.6109 -1.3313  4.8219  8.819  0.826  1.228  0.767  1.495  2.219  2.734  2.923  3.107  3.826  3.5850E+01  9.9949E+01  1.8101E+02
 0.4719563  3.6257 -1.2453  4.8119  8.497  0.736  1.158  0.682  1.338  2.107  2.614  2.785  2.943  3.624  3.5562E+01  9.0551E+01  1.5387E+02
 0.4895877  3.6405 -1.1597  4.8015  8.202  0.669  1.101  0.624  1.223  2.010  2.522  2.680  2.828  3.489  3.6596E+01  8.5321E+01  1.3628E+02
 0.5085522  3.6551 -1.0731  4.7898  7.910  0.599  1.043  0.573  1.120  1.911  2.428  2.574  2.712  3.357  3.9383E+01  8.3970E+01  1.2597E+02
 0.5289710  3.6694 -0.9870  4.7780  7.600  0.499  0.969  0.514  1.005  1.775  2.281  2.416  2.538  3.156  4.0652E+01  7.9165E+01  1.1144E+02
 0.5492041  3.6838 -0.8996  4.7645  7.308  0.367  0.892  0.472  0.929  1.641  2.125  2.249  2.359  2.945  4.0100E+01  7.1508E+01  9.4619E+01
 0.5690714  3.6981 -0.8115  4.7490  7.036  0.207  0.815  0.444  0.883  1.526  1.985  2.098  2.200  2.756  2.3406E+01  3.9023E+01  4.9240E+01
 0.5726104  3.7007 -0.7956  4.7462  6.990  0.181  0.801  0.440  0.876  1.509  1.965  2.077  2.177  2.729  7.1438E+00  1.1539E+01  1.4238E+01
 0.5762152  3.7032 -0.7792  4.7425  6.945  0.156  0.788  0.437  0.870  1.495  1.948  2.058  2.157  2.705  7.1463E+00  1.1375E+01  1.3893E+01
 0.5797567  3.7058 -0.7631  4.7395  6.901  0.130  0.774  0.433  0.864  1.480  1.932  2.040  2.138  2.683  7.0997E+00  1.1139E+01  1.3466E+01
 0.5833149  3.7083 -0.7467  4.7357  6.857  0.106  0.760  0.430  0.859  1.467  1.917  2.024  2.120  2.663  7.0853E+00  1.0958E+01  1.3115E+01
 0.5868420  3.7109 -0.7305  4.7325  6.814  0.081  0.746  0.427  0.854  1.454  1.903  2.007  2.103  2.643  7.0883E+00  1.0808E+01  1.2807E+01
 0.5904032  3.7134 -0.7140  4.7287  6.770  0.058  0.733  0.424  0.849  1.442  1.888  1.992  2.086  2.623  7.0557E+00  1.0607E+01  1.2445E+01
 0.5938977  3.7160 -0.6976  4.7252  6.726  0.036  0.719  0.421  0.844  1.429  1.873  1.974  2.067  2.602  7.0420E+00  1.0439E+01  1.2129E+01
