#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)=11.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 0.4000000  3.5639 -1.6017  4.8493 10.051  1.012  1.498  1.030  1.988  2.872  3.484  3.704  3.866  4.727  1.9124E+01  6.9808E+01  1.5272E+02
 0.4191239  3.5794 -1.5133  4.8432  9.604  0.972  1.407  0.925  1.781  2.630  3.205  3.414  3.588  4.400  3.8201E+01  1.2856E+02  2.6577E+02
 0.4382014  3.5950 -1.4248  4.8364  9.198  0.908  1.311  0.851  1.648  2.385  2.924  3.126  3.317  4.080  3.8024E+01  1.1526E+02  2.2140E+02
 0.4571482  3.6105 -1.3365  4.8285  8.836  0.828  1.230  0.770  1.500  2.222  2.737  2.927  3.111  3.832  3.7957E+01  1.0413E+02  1.8648E+02
 0.4761587  3.6260 -1.2474  4.8191  8.500  0.733  1.157  0.681  1.336  2.105  2.611  2.782  2.940  3.621  3.7884E+01  9.4463E+01  1.5818E+02
 0.4950327  3.6415 -1.1584  4.8090  8.194  0.664  1.097  0.621  1.216  2.004  2.516  2.673  2.821  3.481  4.0280E+01  9.1380E+01  1.4320E+02
 0.5164391  3.6566 -1.0691  4.7984  7.891  0.590  1.036  0.567  1.109  1.899  2.415  2.560  2.696  3.339  4.3454E+01  8.9451E+01  1.3093E+02
 0.5384866  3.6716 -0.9799  4.7874  7.569  0.481  0.957  0.506  0.990  1.753  2.256  2.389  2.509  3.123  4.3827E+01  8.1858E+01  1.1190E+02
 0.5602658  3.6865 -0.8900  4.7743  7.272  0.337  0.877  0.466  0.919  1.617  2.096  2.218  2.326  2.906  4.3284E+01  7.3647E+01  9.4296E+01
 0.5817701  3.7015 -0.7996  4.7603  6.999  0.173  0.797  0.439  0.874  1.504  1.959  2.071  2.171  2.721  2.5352E+01  4.0170E+01  4.8910E+01
 0.5856174  3.7042 -0.7832  4.7575  6.953  0.146  0.782  0.435  0.868  1.489  1.941  2.051  2.150  2.697  7.6506E+00  1.1723E+01  1.3941E+01
 0.5894207  3.7069 -0.7669  4.7548  6.909  0.120  0.768  0.432  0.862  1.475  1.925  2.033  2.130  2.674  7.6256E+00  1.1508E+01  1.3538E+01
 0.5932430  3.7096 -0.7505  4.7521  6.865  0.094  0.753  0.429  0.857  1.461  1.910  2.015  2.111  2.653  7.6325E+00  1.1345E+01  1.3205E+01
 0.5970532  3.7123 -0.7340  4.7491  6.821  0.069  0.739  0.426  0.851  1.447  1.894  1.998  2.093  2.632  7.8259E+00  1.1456E+01  1.3193E+01
 0.6010689  3.7149 -0.7173  4.7457  6.776  0.046  0.725  0.422  0.846  1.434  1.879  1.982  2.075  2.611  8.7915E+00  1.2662E+01  1.4415E+01
 0.6058447  3.7174 -0.6996  4.7415  6.729  0.025  0.713  0.419  0.841  1.421  1.864  1.965  2.057  2.590  9.6331E+00  1.3627E+01  1.5321E+01
 0.6107020  3.7198 -0.6815  4.7365  6.681  0.006  0.700  0.416  0.835  1.408  1.848  1.947  2.038  2.567  9.6895E+00  1.3454E+01  1.4929E+01
 0.6155342  3.7222 -0.6634  4.7314  6.632 -0.012  0.689  0.413  0.830  1.394  1.830  1.928  2.017  2.542  9.6395E+00  1.3139E+01  1.4391E+01
 0.6203415  3.7246 -0.6452  4.7262  6.584 -0.030  0.677  0.409  0.824  1.379  1.812  1.907  1.996  2.516  9.6747E+00  1.2947E+01  1.3999E+01
 0.6252089  3.7270 -0.6268  4.7207  6.534 -0.046  0.666  0.406  0.818  1.365  1.792  1.886  1.973  2.488  9.6560E+00  1.2688E+01  1.3545E+01
 0.6299975  3.7294 -0.6085  4.7154  6.485 -0.062  0.654  0.403  0.812  1.350  1.772  1.864  1.950  2.459  9.7043E+00  1.2523E+01  1.3199E+01
 0.6349132  3.7317 -0.5896  4.7090  6.434 -0.077  0.643  0.399  0.807  1.335  1.752  1.843  1.928  2.431  9.7771E+00  1.2390E+01  1.2894E+01
 0.6397746  3.7340 -0.5708  4.7028  6.384 -0.091  0.633  0.396  0.801  1.321  1.732  1.822  1.905  2.402  9.7715E+00  1.2162E+01  1.2498E+01
 0.6446847  3.7364 -0.5518  4.6967  6.333 -0.106  0.622  0.392  0.794  1.306  1.712  1.799  1.881  2.371  9.8103E+00  1.1994E+01  1.2171E+01
 0.6495849  3.7387 -0.5326  4.6900  6.282 -0.119  0.612  0.388  0.788  1.292  1.692  1.778  1.859  2.342  9.8710E+00  1.1854E+01  1.1879E+01
 0.6545557  3.7409 -0.5129  4.6824  6.230 -0.131  0.602  0.384  0.781  1.278  1.674  1.758  1.837  2.315  9.8163E+00  1.1581E+01  1.1462E+01
 0.6594012  3.7432 -0.4935  4.6754  6.178 -0.145  0.592  0.380  0.773  1.264  1.654  1.736  1.814  2.285  9.8036E+00  1.1365E+01  1.1110E+01
 0.6643593  3.7454 -0.4735  4.6674  6.125 -0.158  0.582  0.376  0.766  1.249  1.635  1.714  1.791  2.255  9.8282E+00  1.1197E+01  1.0813E+01
