#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)=14.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 0.4000000  3.5656 -1.5904  4.8448  9.991  1.009  1.489  1.014  1.957  2.841  3.448  3.667  3.830  4.685  1.8254E+01  6.6717E+01  1.4608E+02
 0.4182543  3.5806 -1.5050  4.8388  9.568  0.968  1.399  0.919  1.770  2.611  3.183  3.391  3.567  4.375  3.6479E+01  1.2336E+02  2.5586E+02
 0.4364791  3.5957 -1.4193  4.8320  9.176  0.905  1.307  0.848  1.642  2.375  2.913  3.114  3.305  4.067  3.6425E+01  1.1142E+02  2.1537E+02
 0.4546788  3.6107 -1.3332  4.8236  8.826  0.827  1.229  0.768  1.497  2.221  2.735  2.925  3.109  3.829  3.6270E+01  1.0080E+02  1.8215E+02
 0.4727496  3.6256 -1.2470  4.8140  8.502  0.736  1.159  0.682  1.339  2.108  2.614  2.786  2.944  3.625  3.6047E+01  9.1404E+01  1.5486E+02
 0.4907260  3.6405 -1.1604  4.8032  8.204  0.669  1.101  0.624  1.223  2.010  2.522  2.680  2.828  3.489  3.7378E+01  8.6663E+01  1.3789E+02
 0.5101279  3.6553 -1.0736  4.7924  7.910  0.598  1.042  0.572  1.119  1.910  2.426  2.572  2.710  3.355  4.0238E+01  8.5174E+01  1.2713E+02
 0.5309636  3.6697 -0.9866  4.7804  7.597  0.497  0.968  0.513  1.003  1.772  2.277  2.412  2.534  3.151  4.1332E+01  7.9796E+01  1.1165E+02
 0.5514600  3.6842 -0.8993  4.7675  7.305  0.362  0.890  0.471  0.928  1.637  2.121  2.245  2.354  2.940  4.0680E+01  7.1842E+01  9.4418E+01
 0.5716433  3.6987 -0.8109  4.7527  7.033  0.201  0.812  0.443  0.881  1.522  1.980  2.093  2.195  2.749  2.3826E+01  3.9309E+01  4.9239E+01
 0.5752857  3.7013 -0.7947  4.7497  6.987  0.175  0.798  0.439  0.875  1.506  1.961  2.072  2.172  2.723  7.2372E+00  1.1563E+01  1.4161E+01
 0.5788805  3.7039 -0.7786  4.7467  6.942  0.149  0.784  0.436  0.869  1.491  1.943  2.053  2.152  2.699  7.1885E+00  1.1318E+01  1.3718E+01
 0.5824742  3.7064 -0.7624  4.7432  6.898  0.124  0.770  0.433  0.863  1.477  1.928  2.036  2.134  2.678  7.2273E+00  1.1215E+01  1.3454E+01
 0.5861078  3.7090 -0.7461  4.7400  6.855  0.099  0.756  0.429  0.858  1.464  1.913  2.019  2.116  2.658  7.1701E+00  1.0966E+01  1.3022E+01
 0.5896443  3.7116 -0.7299  4.7368  6.811  0.075  0.743  0.426  0.853  1.451  1.899  2.003  2.098  2.637  7.1575E+00  1.0791E+01  1.2687E+01
 0.5932653  3.7141 -0.7135  4.7331  6.768  0.052  0.729  0.423  0.848  1.438  1.884  1.987  2.081  2.618  7.1718E+00  1.0660E+01  1.2408E+01
 0.5968161  3.7167 -0.6971  4.7297  6.724  0.030  0.716  0.420  0.842  1.425  1.869  1.970  2.062  2.596  7.2873E+00  1.0678E+01  1.2305E+01
 0.6005526  3.7192 -0.6803  4.7256  6.679  0.010  0.703  0.417  0.837  1.411  1.852  1.952  2.043  2.573  8.2971E+00  1.1973E+01  1.3650E+01
 0.6051132  3.7215 -0.6622  4.7200  6.630 -0.008  0.692  0.414  0.831  1.398  1.836  1.934  2.023  2.550  9.1705E+00  1.3010E+01  1.4656E+01
 0.6097231  3.7237 -0.6438  4.7137  6.581 -0.024  0.681  0.411  0.826  1.385  1.819  1.915  2.004  2.526  9.1983E+00  1.2820E+01  1.4263E+01
