#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)= 8.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 
 0.7335516  3.7688 -0.2760  4.6066  5.605 -0.238  0.493  0.327  0.674  1.122  1.467  1.527  1.588  1.993  1.2784E+01  1.1540E+01  9.4646E+00
 0.7398223  3.7709 -0.2533  4.5960  5.547 -0.240  0.487  0.323  0.667  1.114  1.456  1.516  1.575  1.976  1.2733E+01  1.1262E+01  9.1057E+00
 0.7462842  3.7729 -0.2297  4.5841  5.486 -0.241  0.481  0.319  0.659  1.105  1.445  1.504  1.562  1.960  1.2710E+01  1.1019E+01  8.7839E+00
 0.7525328  3.7750 -0.2065  4.5729  5.426 -0.242  0.475  0.315  0.651  1.096  1.433  1.491  1.548  1.942  1.2510E+01  1.0633E+01  8.3592E+00
 0.7587942  3.7770 -0.1829  4.5609  5.365 -0.243  0.470  0.311  0.643  1.087  1.421  1.478  1.533  1.923  1.2507E+01  1.0426E+01  8.0853E+00
 0.7650402  3.7790 -0.1590  4.5486  5.302 -0.243  0.464  0.308  0.636  1.076  1.407  1.463  1.516  1.902  1.2477E+01  1.0202E+01  7.8057E+00
 0.7712715  3.7809 -0.1349  4.5356  5.239 -0.242  0.459  0.304  0.629  1.064  1.392  1.447  1.499  1.880  1.2374E+01  9.9272E+00  7.4945E+00
 0.7774141  3.7829 -0.1107  4.5229  5.175 -0.241  0.454  0.301  0.621  1.052  1.375  1.429  1.480  1.856  1.2167E+01  9.5814E+00  7.1395E+00
 0.7834389  3.7849 -0.0867  4.5102  5.111 -0.240  0.449  0.297  0.614  1.038  1.357  1.411  1.460  1.830  1.2060E+01  9.3254E+00  6.8603E+00
 0.7894743  3.7868 -0.0622  4.4967  5.046 -0.238  0.445  0.294  0.607  1.024  1.340  1.392  1.439  1.804  1.1849E+01  8.9999E+00  6.5384E+00
 0.7952880  3.7888 -0.0381  4.4837  4.981 -0.236  0.440  0.290  0.599  1.010  1.320  1.371  1.417  1.776  1.1793E+01  8.8016E+00  6.3160E+00
 0.8012672  3.7907 -0.0136  4.4701  4.916 -0.233  0.436  0.287  0.592  0.995  1.301  1.351  1.396  1.749  1.2272E+01  8.9988E+00  6.3778E+00
 0.8075605  3.7927  0.0100  4.4579  4.853 -0.231  0.431  0.283  0.585  0.980  1.281  1.330  1.373  1.720  1.2575E+01  9.0549E+00  6.3363E+00
 0.8138424  3.7947  0.0341  4.4452  4.788 -0.228  0.426  0.280  0.577  0.965  1.262  1.309  1.350  1.692  1.2585E+01  8.8985E+00  6.1476E+00
 0.8201459  3.7966  0.0586  4.4316  4.723 -0.226  0.422  0.276  0.570  0.952  1.243  1.290  1.330  1.665  1.2468E+01  8.6579E+00  5.9062E+00
 0.8263101  3.7985  0.0831  4.4180  4.659 -0.224  0.417  0.273  0.563  0.938  1.225  1.270  1.308  1.638  1.2075E+01  8.2399E+00  5.5524E+00
 0.8322214  3.8005  0.1073  4.4049  4.595 -0.222  0.412  0.269  0.555  0.923  1.205  1.249  1.286  1.609  1.1880E+01  7.9701E+00  5.3069E+00
 0.8381901  3.8024  0.1322  4.3907  4.529 -0.220  0.408  0.265  0.548  0.909  1.186  1.229  1.265  1.581  1.1627E+01  7.6724E+00  5.0497E+00
 0.8438484  3.8044  0.1564  4.3774  4.465 -0.218  0.403  0.261  0.540  0.895  1.166  1.208  1.242  1.552  1.1339E+01  7.3633E+00  4.7920E+00
 0.8495292  3.8063  0.1813  4.3630  4.399 -0.216  0.398  0.258  0.533  0.881  1.147  1.188  1.220  1.524  1.1301E+01  7.2244E+00  4.6500E+00
 0.8551497  3.8082  0.2065  4.3483  4.333 -0.213  0.394  0.254  0.525  0.867  1.128  1.168  1.199  1.496  1.1289E+01  7.1050E+00  4.5235E+00
 0.8608182  3.8100  0.2326  4.3322  4.264 -0.211  0.389  0.251  0.519  0.854  1.109  1.148  1.178  1.470  1.1089E+01  6.8731E+00  4.3290E+00
