#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)=13.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 0.4000000  3.5650 -1.5942  4.8462 10.012  1.010  1.492  1.019  1.967  2.852  3.462  3.680  3.843  4.701  1.8462E+01  6.7455E+01  1.4767E+02
 0.4184616  3.5801 -1.5082  4.8402  9.582  0.969  1.402  0.922  1.774  2.619  3.192  3.401  3.576  4.386  3.6847E+01  1.2447E+02  2.5796E+02
 0.4368467  3.5953 -1.4221  4.8336  9.188  0.907  1.309  0.850  1.646  2.381  2.919  3.121  3.312  4.074  3.6771E+01  1.1225E+02  2.1668E+02
 0.4552326  3.6104 -1.3356  4.8254  8.834  0.829  1.230  0.770  1.501  2.223  2.738  2.928  3.113  3.834  3.6721E+01  1.0175E+02  1.8349E+02
 0.4735675  3.6254 -1.2486  4.8155  8.507  0.737  1.160  0.683  1.341  2.109  2.615  2.787  2.946  3.628  3.6567E+01  9.2349E+01  1.5602E+02
 0.4918000  3.6405 -1.1615  4.8052  8.207  0.668  1.101  0.624  1.223  2.010  2.522  2.680  2.828  3.489  3.8160E+01  8.7995E+01  1.3947E+02
 0.5117276  3.6554 -1.0741  4.7947  7.911  0.597  1.041  0.572  1.118  1.909  2.425  2.571  2.709  3.354  4.1088E+01  8.6359E+01  1.2826E+02
 0.5328879  3.6700 -0.9866  4.7832  7.595  0.495  0.966  0.512  1.001  1.769  2.274  2.409  2.530  3.147  4.2051E+01  8.0493E+01  1.1195E+02
 0.5537791  3.6846 -0.8986  4.7703  7.302  0.358  0.888  0.470  0.926  1.633  2.116  2.240  2.349  2.934  4.1440E+01  7.2469E+01  9.4589E+01
 0.5743276  3.6992 -0.8099  4.7558  7.029  0.196  0.809  0.443  0.880  1.519  1.976  2.089  2.190  2.744  2.4214E+01  3.9523E+01  4.9136E+01
 0.5779932  3.7018 -0.7939  4.7529  6.984  0.170  0.795  0.439  0.873  1.503  1.957  2.068  2.168  2.718  7.3584E+00  1.1627E+01  1.4128E+01
 0.5816860  3.7044 -0.7776  4.7498  6.939  0.144  0.781  0.435  0.868  1.488  1.940  2.050  2.148  2.695  7.3299E+00  1.1411E+01  1.3721E+01
 0.5853231  3.7070 -0.7615  4.7468  6.895  0.119  0.767  0.432  0.862  1.474  1.925  2.032  2.129  2.674  7.2508E+00  1.1123E+01  1.3238E+01
 0.5889368  3.7097 -0.7454  4.7442  6.852  0.093  0.753  0.429  0.857  1.460  1.909  2.015  2.111  2.652  7.2237E+00  1.0923E+01  1.2868E+01
 0.5925468  3.7123 -0.7292  4.7410  6.809  0.069  0.739  0.426  0.851  1.447  1.895  1.998  2.093  2.632  7.2113E+00  1.0748E+01  1.2535E+01
 0.5961481  3.7149 -0.7130  4.7379  6.765  0.046  0.725  0.422  0.846  1.434  1.880  1.982  2.075  2.611  7.2491E+00  1.0651E+01  1.2298E+01
 0.5997959  3.7175 -0.6965  4.7344  6.721  0.024  0.712  0.419  0.840  1.421  1.864  1.964  2.056  2.589  8.3120E+00  1.2028E+01  1.3739E+01
 0.6044601  3.7198 -0.6784  4.7289  6.673  0.006  0.700  0.416  0.835  1.408  1.848  1.947  2.038  2.567  9.3913E+00  1.3357E+01  1.5074E+01
 0.6091872  3.7221 -0.6601  4.7232  6.624 -0.012  0.689  0.413  0.830  1.395  1.831  1.929  2.018  2.543  9.4378E+00  1.3181E+01  1.4686E+01
 0.6138979  3.7244 -0.6417  4.7173  6.575 -0.029  0.678  0.410  0.824  1.381  1.814  1.909  1.998  2.518  9.4366E+00  1.2942E+01  1.4238E+01
 0.6186238  3.7266 -0.6230  4.7108  6.525 -0.044  0.667  0.407  0.819  1.367  1.796  1.890  1.977  2.493  9.4043E+00  1.2668E+01  1.3762E+01
 0.6233022  3.7289 -0.6044  4.7046  6.476 -0.059  0.656  0.403  0.813  1.353  1.776  1.869  1.955  2.466  9.3525E+00  1.2377E+01  1.3279E+01
 0.6279763  3.7312 -0.5857  4.6984  6.425 -0.074  0.646  0.400  0.808  1.338  1.757  1.848  1.933  2.437  9.3390E+00  1.2144E+01  1.2869E+01
 0.6326412  3.7334 -0.5667  4.6914  6.375 -0.088  0.635  0.397  0.802  1.325  1.738  1.827  1.911  2.409  9.3489E+00  1.1947E+01  1.2506E+01
 0.6373252  3.7356 -0.5476  4.6843  6.324 -0.101  0.625  0.393  0.796  1.311  1.719  1.807  1.889  2.382  9.3350E+00  1.1725E+01  1.2126E+01
